"alpha"	"delta"	"mig"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"Haplotype"	"Param_value"
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	10	"intercept"	"Hapl15"	0.5
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	10	"intercept"	"Hapl16"	0.5
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	10	"intercept"	"Hapl17"	0.5
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	10	"intercept"	"Hapl18"	0.5
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	10	"intercept"	"Hapl19"	0.5
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	10	"intercept"	"Hapl20"	0.5
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl1"	-0.103318
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl2"	-0.0866059
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl3"	-0.0643427
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl4"	-0.084535
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl5"	-0.0558471
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl6"	-0.0929057
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl7"	-0.0832916
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl8"	-0.0330422
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl9"	-0.0929057
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl10"	-0.0764949
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl11"	-0.0178831
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl12"	-0.0245642
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl13"	-0.0689646
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl14"	-0.0783556
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl15"	-0.0282373
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl16"	-0.0412219
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl17"	-0.0613564
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl18"	-0.0539053
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl19"	-0.0978515
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"slope"	"Hapl20"	-0.0683864
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl1"	0.563886
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl2"	0.542428
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl3"	0.688602
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl4"	0.591012
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl5"	0.670036
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl6"	0.582411
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl7"	0.590204
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl8"	0.537627
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl9"	0.582411
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl10"	0.596505
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl11"	0.758956
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl12"	0.603309
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl13"	0.582011
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl14"	0.555408
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	5000	"intercept"	"Hapl15"	0.701369
