"alpha"	"delta"	"mig"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	275000	"intercept"	0.99117176
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	280000	"slope"	-0.418725770179
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	280000	"intercept"	0.99834389
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	285000	"slope"	-0.39990377521
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	285000	"intercept"	1.0080837
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	290000	"slope"	-0.355849667108
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	290000	"intercept"	1.014592865
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	295000	"slope"	-0.343434308255
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	295000	"intercept"	0.99625469
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	300000	"slope"	-0.3930909841
"0.55"	"0.8"	"0.45"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4879302106722862630"	300000	"intercept"	0.919724495
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	10	"slope"	-6.4429185e-05
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	10	"intercept"	0.500027565
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	5000	"slope"	-0.0432720290785
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	5000	"intercept"	0.69520417
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	10000	"slope"	-0.214177035
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	10000	"intercept"	0.78260179
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	15000	"slope"	-0.3939949
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	15000	"intercept"	0.902700665
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	20000	"slope"	-0.55845912
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	20000	"intercept"	1.00890214
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	25000	"slope"	-0.71519054
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	25000	"intercept"	1.0866192
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	30000	"slope"	-0.833587525
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	30000	"intercept"	1.1535575
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	35000	"slope"	-0.96957002
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	35000	"intercept"	1.24071605
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	40000	"slope"	-1.059260865
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	40000	"intercept"	1.30417555
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	45000	"slope"	-1.1470984
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	45000	"intercept"	1.35324415
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	50000	"slope"	-1.2069508
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	50000	"intercept"	1.3936548
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	55000	"slope"	-1.277936
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	55000	"intercept"	1.4459245
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	60000	"slope"	-1.33218095
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	60000	"intercept"	1.48157955
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	65000	"slope"	-1.41526405
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	65000	"intercept"	1.5287619
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	70000	"slope"	-1.4092013
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	70000	"intercept"	1.53230965
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	75000	"slope"	-1.44388065
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	75000	"intercept"	1.5548555
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	80000	"slope"	-1.4587525
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	80000	"intercept"	1.5631411
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	85000	"slope"	-1.49348875
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	85000	"intercept"	1.58557645
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	90000	"slope"	-1.4820072
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	90000	"intercept"	1.5847574
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	95000	"slope"	-1.5144475
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	95000	"intercept"	1.60146825
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	100000	"slope"	-1.5476533
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	100000	"intercept"	1.627729
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	105000	"slope"	-1.5486516
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	105000	"intercept"	1.63702655
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	110000	"slope"	-1.50854995
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	110000	"intercept"	1.59922515
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	115000	"slope"	-1.47905465
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	115000	"intercept"	1.5800373
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	120000	"slope"	-1.4801688
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	120000	"intercept"	1.5849074
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	125000	"slope"	-1.52496185
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	125000	"intercept"	1.60619475
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	130000	"slope"	-1.518336
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	130000	"intercept"	1.60161985
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	135000	"slope"	-1.5466344
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	135000	"intercept"	1.62884905
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	140000	"slope"	-1.53907295
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	140000	"intercept"	1.6195019
