generation	param	Ind1	Ind2	Ind3	Ind4	Ind5	Ind6	Ind7	Ind8	Ind9	Ind10	Ind11	Ind12	Ind13	Ind14	Ind15	Ind16	Ind17	Ind18	Ind19	Ind20	Ind21	Ind22	Ind23	Ind24	Ind25	Ind26	Ind27	Ind28	Ind29	Ind30	Ind31	Ind32	Ind33	Ind34	Ind35	Ind36	Ind37	Ind38	Ind39	Ind40	Ind41	Ind42	Ind43	Ind44	Ind45	Ind46	Ind47	Ind48	Ind49	Ind50	Ind51	Ind52	Ind53	Ind54	Ind55	Ind56	Ind57	Ind58	Ind59	Ind60	Ind61	Ind62	Ind63	Ind64	Ind65	Ind66	Ind67	Ind68	Ind69	Ind70	Ind71	Ind72	Ind73	Ind74	Ind75	Ind76	Ind77	Ind78	Ind79	Ind80	Ind81	Ind82	Ind83	Ind84	Ind85	Ind86	Ind87	Ind88	Ind89	Ind90	Ind91	Ind92	Ind93	Ind94	Ind95	Ind96	Ind97	Ind98	Ind99	Ind100	Hapl1	Hapl2	Hapl3	Hapl4	Hapl5	Hapl6	Hapl7	Hapl8	Hapl9	Hapl10	Hapl11	Hapl12	Hapl13	Hapl14	Hapl15	Hapl16	Hapl17	Hapl18	Hapl19	Hapl20	Hapl21	Hapl22	Hapl23	Hapl24	Hapl25	Hapl26	Hapl27	Hapl28	Hapl29	Hapl30	Hapl31	Hapl32	Hapl33	Hapl34	Hapl35	Hapl36	Hapl37	Hapl38	Hapl39	Hapl40	Hapl41	Hapl42	Hapl43	Hapl44	Hapl45	Hapl46	Hapl47	Hapl48	Hapl49	Hapl50	Hapl51	Hapl52	Hapl53	Hapl54	Hapl55	Hapl56	Hapl57	Hapl58	Hapl59	Hapl60	Hapl61	Hapl62	Hapl63	Hapl64	Hapl65	Hapl66	Hapl67	Hapl68	Hapl69	Hapl70	Hapl71	Hapl72	Hapl73	Hapl74	Hapl75	Hapl76	Hapl77	Hapl78	Hapl79	Hapl80	Hapl81	Hapl82	Hapl83	Hapl84	Hapl85	Hapl86	Hapl87	Hapl88	Hapl89	Hapl90	Hapl91	Hapl92	Hapl93	Hapl94	Hapl95	Hapl96	Hapl97	Hapl98	Hapl99	Hapl100
10	slope	0.0	0.0	0.0	0.00859054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00205927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0123289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0124556	0.0	0.0	-0.00825876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00697644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00867502	0.0	-0.00184578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00410417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0181834	0.0	0.0	0.0	0.0	-0.00322927	0.0	0.0	0.00210222	0.0	0.0	0.0	0.0	0.0	0.00411854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	intercept	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.499395	0.5	0.5	0.5	0.5	0.5	0.5	0.506231	0.5	0.504962	0.5	0.5	0.498305	0.5	0.5	0.5	0.507387	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.500026	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.503043	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.498939	0.5	0.515433	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.497364	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.497863	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
1000	slope	0.00681213	0.0132653	0.00458873	0.0371565	0.0179736	0.00236533	0.0184201	0.0179882	0.0017432	-0.00259927	0.0200105	-0.000133732	-0.00525571	0.00236533	-0.00021535	0.00709813	0.00509109	0.00293451	-0.00729033	0.0294743	0.00912278	0.0058748	0.0120433	0.0147458	-0.0103725	0.0224445	-0.00537811	0.0152605	-0.00434893	0.00371048	-0.00746538	0.019196	-0.0106628	0.0205106	-0.00219721	-0.0104534	-0.00746538	-0.0128767	0.0299331	0.00653897	0.00570684	-0.000538066	0.00576046	0.0125858	0.0217921	0.00236533	-0.00808393	-0.00259927	0.0217529	0.0108248	-0.0128767	0.0042997	0.0409745	0.00758131	0.0366432	-0.0106859	-0.0128767	0.00542459	0.00408437	0.0252198	0.00286797	0.0332824	0.0148167	0.00722122	0.00912278	0.00144039	-0.00105548	0.0433121	0.0217529	0.0042997	-0.00282776	-0.00534799	-0.0104534	0.00722122	0.00541027	-0.00182064	0.0224648	0.021892	0.0104288	0.00386903	0.00477739	0.0284624	0.00407531	-0.0128767	0.0198783	0.00525488	0.0349794	-0.00579535	-0.00329112	-0.00329112	0.00439099	-0.00228682	0.00236533	0.00925805	0.0163911	0.0135039	0.0118126	0.0384347	0.0433121	0.0433121	-0.0332283	0.0042997	0.0113348	0.0371565	0.0158242	0.0250268	-0.00263279	0.0284624	0.0137454	0.00681213	0.00681213	0.00121416	0.0042997	0.00236533	0.00912278	-0.01316	0.00912278	0.0042997	0.0217529	0.00925805	0.0371565	-0.0104534	0.0408122	0.00525488	0.0178539	0.0466235	0.0433121	-0.00844892	0.00386903	0.0125518	0.00236533	0.00912278	0.0205106	-0.00844892	-0.00110744	-0.00844892	0.0205106	-0.00534799	0.00662883	-0.00263279	-0.00398105	0.00912278	0.00912278	0.00477739	-0.00426645	0.00156932	0.016338	0.039015	0.0433121	0.0217921	0.0433121	0.00505564	0.00395516	0.0117487	0.00525488	0.0241766	0.0042997	0.00925805	0.0371565	0.0217529	-0.00722571	-0.0106859	-0.00844892	0.0205106	-0.00329112	0.0101216	0.0205106	0.0284624	-0.00844892	0.00236533	0.016338	0.0042997	0.0433121	-0.00534799	0.0325651	0.00236533	0.00525488	-0.00329112	0.00156932	-0.0104534	0.00912278	0.0217529	0.00156932	0.00439099	0.0042997	0.00925805	0.0371565	0.00912278	0.00331578	0.0042997	-0.00802327	-0.0128767	0.00925805	-0.00182082	0.00439099	0.0179736	0.00386903	0.0205106	-0.0104534	0.00912278
1000	intercept	0.649501	0.635226	0.64118	0.650039	0.63101	0.632063	0.654846	0.642396	0.633153	0.661833	0.649279	0.651181	0.652956	0.646351	0.659561	0.626111	0.660829	0.660471	0.654191	0.637399	0.631416	0.631532	0.659561	0.626124	0.651301	0.644795	0.603794	0.639619	0.644182	0.622109	0.659561	0.623579	0.6492	0.630568	0.644209	0.652666	0.660292	0.659561	0.632791	0.621966	0.6492	0.632082	0.648442	0.633693	0.624759	0.646351	0.660522	0.661833	0.601696	0.643754	0.659561	0.66366	0.626572	0.649187	0.646541	0.612554	0.659561	0.638839	0.644375	0.637206	0.645378	0.6362	0.637804	0.597727	0.628565	0.635348	0.631919	0.637075	0.605055	0.6703	0.643073	0.642898	0.664104	0.626585	0.659561	0.650734	0.613529	0.633127	0.632965	0.629804	0.625844	0.654322	0.631829	0.659561	0.632719	0.659561	0.631613	0.660471	0.661483	0.659561	0.648802	0.630565	0.632063	0.631604	0.637911	0.632308	0.632308	0.6241	0.637075	0.637075	0.624249	0.659561	0.631604	0.646602	0.606651	0.619956	0.66776	0.654322	0.658076	0.637365	0.640363	0.637365	0.659561	0.646351	0.650043	0.659561	0.628565	0.659561	0.596296	0.631604	0.650039	0.633617	0.621576	0.650594	0.644209	0.602851	0.637075	0.638839	0.629804	0.659561	0.653582	0.628565	0.648802	0.638839	0.640851	0.638839	0.648802	0.637521	0.680171	0.6703	0.659561	0.631855	0.628565	0.625844	0.644209	0.661381	0.602034	0.637075	0.637075	0.624759	0.637075	0.612155	0.615367	0.612155	0.659561	0.614551	0.659561	0.631604	0.650039	0.605055	0.617416	0.609874	0.638839	0.651718	0.659561	0.670471	0.648802	0.654322	0.67002	0.632063	0.602034	0.659561	0.637075	0.637521	0.612622	0.632063	0.659561	0.661483	0.661381	0.664104	0.628565	0.604704	0.661381	0.648802	0.659561	0.631604	0.640788	0.619956	0.659072	0.659561	0.623505	0.659561	0.631604	0.588009	0.644005	0.63101	0.628236	0.630568	0.664104	0.615387
2000	slope	0.011979	0.0273592	0.028433	0.0317551	0.0405948	0.0179302	0.00318332	0.0283655	-0.00388183	0.0242045	0.0250953	0.0296877	0.00241105	0.0111899	0.0227412	0.0161385	0.0130958	0.0234379	0.0106767	0.0109288	0.0071054	0.0130908	0.015147	0.0113147	0.0383458	0.0323574	0.00614238	-0.000266662	0.00352066	0.0178732	-0.00483399	0.0193319	-0.0203982	0.0261998	0.0155827	0.0305843	0.0130958	0.0335217	0.000587918	0.00335199	0.00963808	0.0151483	-0.000204699	-0.00318275	0.0353875	-0.00705915	0.0373557	-0.00224397	0.0094048	0.0111023	0.0415327	0.038036	0.0373557	0.0245137	0.0475611	-0.0182402	0.00671705	0.0284576	0.00974398	0.0213317	0.0466786	0.0261998	-0.00675098	0.0261113	0.0466786	0.0242045	0.0388716	0.0152713	0.00363721	0.0247254	0.0218606	0.0201574	-0.0225371	0.0204932	-0.0331921	0.00380983	0.0229252	0.0242045	0.0302605	0.00222849	-0.0140938	0.0142583	-0.017344	0.0290982	0.0466786	0.00621534	0.0466786	0.0336693	-0.00780311	0.00852783	0.00183457	0.0383458	0.0259067	0.0195595	0.0101497	-0.0503331	0.0119755	0.0109025	0.014304	0.0201568	0.0130439	0.0353875	0.0204932	0.0383458	0.015251	0.00409431	0.0204932	-0.0204782	0.0397197	-0.000383199	0.0118449	0.0357078	0.00983971	0.0357383	-0.0142693	0.0273592	-0.00250383	0.0259067	0.00183457	0.0130958	0.0383458	0.0436868	0.0101497	0.00318332	0.0371414	-0.00705915	0.00614238	-0.0134046	0.0128139	0.0340457	0.0353875	-0.00716415	0.00367966	-0.00705915	0.0373557	0.0259067	0.0515313	0.0373557	-0.00196259	-0.0018767	-0.00716415	0.0296877	0.0259067	0.00614238	0.0273592	0.0084948	0.0195595	-0.00716415	0.0103976	-0.00250383	-0.00705915	0.0373557	0.0336693	-0.0136585	0.0273592	0.00135467	0.0259067	0.0109288	0.00318332	-0.0205712	0.0019705	-0.00250383	0.0259067	0.0195595	0.0466786	-0.0134046	-0.00705915	0.0373557	0.00974398	0.0466786	-0.00181828	0.0128139	-0.00203766	0.0101497	-0.00250383	-0.00250383	-0.0394042	0.00614238	0.0273592	0.0317521	0.00614238	-0.0118454	0.0128139	0.0336693	-0.0503331	0.0515313	0.0163999	-0.00716415	0.0357383	0.0480549	0.0273592	0.0357383	-0.0503331	0.0178891	-0.00716415	-0.00716415	0.0178891	0.0129309	0.0019705	0.0103976
2000	intercept	0.713021	0.75242	0.722722	0.723887	0.756977	0.707885	0.729555	0.72195	0.740733	0.746325	0.751771	0.753645	0.723179	0.723979	0.738591	0.736416	0.76714	0.76136	0.735187	0.716062	0.705959	0.743755	0.754833	0.725934	0.759708	0.731271	0.722786	0.721798	0.753645	0.709398	0.734549	0.759151	0.737138	0.756801	0.713737	0.711275	0.76714	0.736726	0.725926	0.7416	0.728514	0.708363	0.703979	0.730888	0.72195	0.718435	0.719039	0.691063	0.762183	0.706106	0.73516	0.753645	0.69829	0.7328	0.753645	0.712027	0.73604	0.734889	0.707885	0.712615	0.711275	0.762639	0.710138	0.734294	0.711275	0.746325	0.719497	0.744631	0.715952	0.736208	0.749985	0.753645	0.705738	0.753645	0.712391	0.707885	0.728967	0.746325	0.729712	0.728514	0.712857	0.730765	0.728832	0.733066	0.711275	0.746685	0.711275	0.719188	0.727281	0.730609	0.716896	0.759708	0.705326	0.749972	0.701578	0.701241	0.71706	0.716062	0.718042	0.76136	0.76714	0.72195	0.753645	0.759708	0.753539	0.737033	0.749817	0.663118	0.71877	0.72941	0.743834	0.753645	0.703878	0.771289	0.712027	0.769075	0.721842	0.703864	0.716896	0.758917	0.759708	0.719807	0.701578	0.729555	0.717344	0.718435	0.722786	0.73583	0.749972	0.71877	0.72195	0.732679	0.740606	0.718435	0.69829	0.714918	0.715344	0.69829	0.749972	0.753645	0.726921	0.753645	0.72574	0.693156	0.754233	0.73629	0.75659	0.732679	0.73583	0.721798	0.718435	0.69829	0.719188	0.696434	0.769075	0.753645	0.730156	0.716062	0.729555	0.726177	0.721798	0.724942	0.714918	0.746253	0.711275	0.73583	0.718435	0.69829	0.707885	0.711705	0.756443	0.749972	0.728514	0.701578	0.721798	0.721798	0.72063	0.689034	0.742736	0.762639	0.689034	0.712391	0.749972	0.719188	0.725467	0.734752	0.73583	0.753211	0.769296	0.71877	0.75242	0.769296	0.725467	0.707885	0.726921	0.721142	0.698025	0.694483	0.720924	0.742755
3000	slope	-0.0126664	0.0120815	0.0172172	-0.000355065	-0.0204271	0.00803831	0.00895555	0.00551932	0.0149699	0.0271416	0.0146274	0.0151987	0.00456241	0.0212559	0.0151526	0.00904196	0.0137352	0.0136538	0.0281679	0.0110435	0.0102234	0.00292313	0.0161012	0.0148892	0.00904196	0.00631528	0.00757684	0.0155334	0.0405538	0.0235361	-0.0132036	0.0399387	0.0159292	-0.0168728	0.0148836	0.00969142	0.0192195	0.0273592	-0.00462593	-0.00424945	0.0128073	0.0167019	0.00904196	0.0011109	0.00966799	0.035942	0.00201772	0.00803831	-0.0135284	0.00822777	0.0175763	0.00718569	0.0448951	0.00904196	0.0165317	-0.0126664	0.0197082	0.00683141	0.016165	0.0151526	0.020131	0.0123223	0.00107789	0.033097	0.017378	0.0353062	0.0272276	0.0144627	-0.000552997	-0.0015141	-0.00231407	0.0247314	0.0159027	0.0113389	0.0160657	-0.000739528	0.0064751	0.0102267	0.0172829	0.00106668	-0.000739528	0.0196933	0.00803831	0.0273592	0.0173803	0.00210496	0.00904196	0.0159029	0.0320309	0.0181251	0.0303766	-0.00413829	0.0207259	0.00584124	0.0273592	0.0202486	0.0127601	-0.0241673	0.00281929	0.00035208	-0.00462593	0.0182448	-0.0126664	0.0357011	0.00147872	0.0287625	0.00895555	0.0273592	0.030884	0.0155334	0.0192195	0.0273592	-0.00413829	-0.00413829	0.0151526	0.0120815	0.0273592	0.0273003	0.0462785	0.0500378	0.0267765	-0.0126664	-0.00413829	-0.0143501	-0.0126664	0.0589062	0.0478193	0.0445248	0.030884	0.0431048	0.0124077	0.0151526	0.0189183	0.00185058	0.0188488	-0.0015141	0.0183887	-0.00413829	-0.0144525	0.00803831	-0.00218495	0.0189183	0.0369257	0.00768895	0.0159027	0.0271416	0.0192195	-0.0126664	0.0357011	0.0451292	-0.0126664	-0.00413829	0.0273592	0.0120815	-0.0126664	0.0154364	0.00106668	-0.00218495	0.00147872	0.0273592	0.0393866	-0.00011451	0.0490588	0.00904196	0.0139636	-0.0240332	0.0431048	0.0539463	-0.000552997	0.030884	0.0139636	0.0421308	0.0281679	-0.0144525	0.0151769	-0.0126664	-0.0126664	0.0124151	-0.00462593	0.0124151	0.0165317	0.0152449	-0.0204271	0.0164392	-0.00413829	0.0151526	0.0120815	-0.00295669	0.0175763	0.0165317	0.0160657	0.0161881	0.0222015	0.0152449	0.0250672	-0.00698479	0.0154364	0.030884	-0.000552997	-0.0015141
3000	intercept	0.759186	0.776172	0.77914	0.755595	0.792038	0.758925	0.763694	0.741295	0.753098	0.775182	0.713002	0.778323	0.776161	0.761116	0.784744	0.746617	0.768514	0.759441	0.800293	0.770535	0.759905	0.754795	0.745688	0.777772	0.746617	0.746072	0.785389	0.77981	0.780892	0.772091	0.766411	0.775654	0.771661	0.793454	0.753589	0.761693	0.771367	0.759601	0.771957	0.755835	0.756371	0.763317	0.746617	0.76826	0.764307	0.768123	0.770392	0.758925	0.758292	0.749287	0.753816	0.754599	0.791356	0.746617	0.780758	0.777467	0.767793	0.753154	0.754219	0.784744	0.735324	0.75638	0.755595	0.783331	0.757826	0.78471	0.76984	0.75535	0.7032	0.755762	0.768196	0.777651	0.745688	0.78508	0.763836	0.770916	0.769815	0.763964	0.776408	0.792038	0.760756	0.774005	0.758925	0.759601	0.749961	0.742247	0.746617	0.766677	0.752867	0.776172	0.75119	0.737832	0.793454	0.762631	0.759601	0.745688	0.777651	0.764264	0.776172	0.76975	0.771957	0.743141	0.777467	0.762382	0.766677	0.769428	0.763694	0.751474	0.776645	0.788531	0.771367	0.759601	0.737832	0.75535	0.773418	0.776172	0.759601	0.772703	0.722598	0.779092	0.753816	0.766677	0.737832	0.766927	0.777467	0.77022	0.786892	0.775618	0.776645	0.778123	0.802009	0.762631	0.719183	0.743059	0.785562	0.748341	0.753816	0.746661	0.754142	0.758925	0.75492	0.719183	0.780758	0.776172	0.745688	0.775182	0.771367	0.777467	0.762382	0.758667	0.777467	0.737832	0.759601	0.759028	0.777467	0.769428	0.792038	0.75492	0.766677	0.761836	0.722598	0.770916	0.79163	0.746617	0.736771	0.768378	0.778123	0.770659	0.7032	0.791083	0.736771	0.708948	0.7916	0.754142	0.744757	0.759186	0.766677	0.783234	0.771957	0.780758	0.780758	0.771903	0.792038	0.770155	0.737832	0.772956	0.776172	0.763322	0.753816	0.780758	0.758541	0.753098	0.770155	0.771903	0.770155	0.763329	0.75771	0.776645	0.7032	0.755762
4000	slope	0.00991662	-0.0161918	0.0386219	0.0164475	0.0152321	0.0198722	0.00688626	0.00904399	-0.0138556	0.014748	0.0115509	0.0309458	0.0196056	0.023496	0.0179196	0.0735252	0.0257116	0.00699468	0.0107885	0.00727542	0.0128012	0.0173103	-0.0190263	-0.0252216	0.00904399	0.0150506	-0.00731863	0.0437087	0.0176535	-0.00562206	0.0386219	0.00459284	-0.0386826	0.0156251	0.0237396	0.0236531	0.0328437	0.0390715	0.0107885	0.0030056	0.00700735	0.00780368	0.00403793	0.0196643	0.0109563	0.00901552	-0.00482039	0.0141298	0.0176535	0.007863	0.00118651	-0.003315	0.000626094	0.00596496	0.018458	0.0499292	0.0386219	0.018983	0.00799826	-0.0230072	0.0278521	0.028423	0.0447198	0.0112166	0.0481017	0.0276814	0.0233941	0.017162	0.0164475	-5.11799e-05	0.0309586	-0.00551074	0.0267124	0.0254557	0.0309586	0.0285341	0.0191568	0.0640263	0.020806	0.0385042	-0.00567875	0.0386219	0.00459284	0.0208193	0.00793445	0.00683316	0.00700735	0.0566521	0.0259407	-0.0186031	0.0386219	-0.0228654	0.01348	0.0270293	-0.000420089	0.018336	-0.0400478	-0.00412643	0.0229237	0.00836998	0.00836998	0.0164058	0.0280349	0.0276117	0.0336219	-0.00562206	-0.00562206	-0.012593	0.00836998	0.0309586	-0.0112215	0.00706537	0.0185901	-0.0190263	0.0309586	-0.003315	-0.0423706	-0.0202145	0.00638755	-5.11799e-05	0.000647989	-0.003315	0.0463289	0.000224305	-0.00716509	0.00880655	-0.00251061	0.030933	-0.0313783	0.0500622	0.0188631	0.0386219	0.0386219	-0.00539144	0.0276117	0.0126665	-0.0136223	0.0447198	-0.00562206	0.00304952	0.0101884	-0.003315	0.0128012	-0.00804756	-5.11799e-05	-0.00766805	0.0112265	0.0276117	0.0397677	-0.0136223	0.00836998	-0.0475509	0.0386219	0.0191568	-0.0427978	0.0342165	0.00889007	0.0386219	-0.0386826	-0.0190263	0.0437087	0.0309586	0.00836998	0.00904399	0.0276117	-0.0381255	0.0198722	0.0112265	-0.0381255	0.0135426	-0.0190263	0.0386219	-0.003315	0.012982	-0.0027689	-0.003315	0.0790877	-0.0112215	0.00700735	-0.00884322	-0.031792	-0.00762387	-0.0136223	-0.0190263	0.00898916	-0.003315	-0.0190263	0.0135426	0.0093262	0.0446443	0.0135426	0.00836998	0.0135426	0.028423	0.0386219	0.00760395	0.00880655	-0.0136223	-0.0162359	0.0135426
4000	intercept	0.784603	0.780191	0.753053	0.764795	0.784599	0.797491	0.798497	0.750598	0.775823	0.756423	0.794112	0.75944	0.757803	0.767433	0.787008	0.75288	0.776298	0.770866	0.801427	0.761632	0.776383	0.748153	0.792242	0.775773	0.750598	0.766285	0.786284	0.750388	0.77142	0.759413	0.753053	0.760849	0.792134	0.792812	0.768231	0.756011	0.757136	0.771436	0.806977	0.767934	0.788884	0.781325	0.784141	0.775021	0.777753	0.757712	0.819976	0.763776	0.769902	0.750056	0.770879	0.777017	0.761835	0.766285	0.752666	0.762424	0.776212	0.778557	0.783876	0.790756	0.77537	0.784798	0.775817	0.779462	0.757221	0.771834	0.74364	0.787807	0.764795	0.819976	0.768231	0.786973	0.754956	0.784927	0.768231	0.779248	0.807365	0.756616	0.757216	0.755722	0.760386	0.776212	0.752666	0.772627	0.825171	0.80113	0.788884	0.747173	0.809203	0.777153	0.76527	0.792134	0.765333	0.74364	0.783053	0.781873	0.785306	0.781363	0.802019	0.781812	0.772532	0.777017	0.75409	0.780488	0.76058	0.759413	0.759413	0.761433	0.781812	0.768231	0.790667	0.795802	0.748854	0.784612	0.768231	0.777017	0.789661	0.781363	0.785174	0.819976	0.760779	0.774462	0.753053	0.781812	0.816497	0.781857	0.749572	0.75065	0.781522	0.754267	0.783867	0.760778	0.776212	0.740299	0.785174	0.807998	0.77496	0.775817	0.759413	0.771638	0.75409	0.777017	0.777017	0.749396	0.819976	0.756471	0.752666	0.785174	0.757221	0.759299	0.772532	0.792134	0.767669	0.807365	0.768385	0.751069	0.742787	0.762787	0.792134	0.796523	0.753053	0.768231	0.781812	0.750598	0.766772	0.793879	0.801902	0.752666	0.793879	0.806977	0.784612	0.760778	0.777017	0.754828	0.739428	0.774462	0.745543	0.790667	0.788884	0.784141	0.802277	0.781812	0.77496	0.799872	0.767822	0.771638	0.784612	0.798733	0.752666	0.757221	0.798733	0.781812	0.798733	0.784798	0.776212	0.806977	0.781857	0.77496	0.759413	0.798733
