"alpha"	"delta"	"mig"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	10	"slope"	-9.15451e-05
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	10	"intercept"	0.499583235
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	5000	"slope"	0.035740389605
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	5000	"intercept"	0.497251055
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	10000	"slope"	0.010908150975
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	10000	"intercept"	0.523749055
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	15000	"slope"	0.00206456817
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	15000	"intercept"	0.51802884
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	20000	"slope"	0.04379466835
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	20000	"intercept"	0.48122931
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	25000	"slope"	0.0544876736
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	25000	"intercept"	0.48015651
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	30000	"slope"	0.037137490465
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	30000	"intercept"	0.48717417
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	35000	"slope"	0.0004423327
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	35000	"intercept"	0.512526665
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	40000	"slope"	-0.043569610505
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	40000	"intercept"	0.547778995
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	45000	"slope"	-0.06860327
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	45000	"intercept"	0.556195225
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	50000	"slope"	-0.06543324415
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	50000	"intercept"	0.5674136
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	55000	"slope"	-0.0209040228335
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	55000	"intercept"	0.52241725
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	60000	"slope"	-0.00521082758
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	60000	"intercept"	0.522676565
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	65000	"slope"	-0.02695903645
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	65000	"intercept"	0.54039928
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	70000	"slope"	-0.043725203365
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	70000	"intercept"	0.539694415
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	75000	"slope"	-0.041091603315
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	75000	"intercept"	0.54333401
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	80000	"slope"	-0.040718144275
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	80000	"intercept"	0.544027705
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	85000	"slope"	-0.01983724205
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	85000	"intercept"	0.52549296
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	90000	"slope"	0.02317180185
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	90000	"intercept"	0.496935345
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	95000	"slope"	0.00152424893
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	95000	"intercept"	0.515026825
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	100000	"slope"	0.04888743855
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"3922807355402839517"	100000	"intercept"	0.482314255
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	10	"slope"	-6.757395e-05
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	10	"intercept"	0.500010745
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	5000	"slope"	-0.00460447095
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	5000	"intercept"	0.51062899
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	10000	"slope"	0.010427789585
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	10000	"intercept"	0.512944925
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	15000	"slope"	0.00508672855
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	15000	"intercept"	0.51522285
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	20000	"slope"	0.01784006962
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	20000	"intercept"	0.51083498
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	25000	"slope"	-0.0128143059
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	25000	"intercept"	0.51490701
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	30000	"slope"	-0.0411208874695
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	30000	"intercept"	0.54287516
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	35000	"slope"	-0.064205254295
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	35000	"intercept"	0.55501508
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	40000	"slope"	-0.081242827
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	40000	"intercept"	0.56763375
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	45000	"slope"	0.0232679734
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	45000	"intercept"	0.49329142
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	50000	"slope"	0.01377768244
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	50000	"intercept"	0.50504402
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	55000	"slope"	0.0350613394
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	55000	"intercept"	0.48980662
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	60000	"slope"	0.04225141151
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	60000	"intercept"	0.48752536
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	65000	"slope"	0.016623208215
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	65000	"intercept"	0.498248665
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	70000	"slope"	0.012629833455
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	70000	"intercept"	0.51600346
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	75000	"slope"	0.01489674335
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	75000	"intercept"	0.499025455
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	80000	"slope"	0.0441665822
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	80000	"intercept"	0.48017197
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	85000	"slope"	0.044466105175
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	85000	"intercept"	0.4832418
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	90000	"slope"	0.020591016475
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	90000	"intercept"	0.502525135
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	95000	"slope"	0.00517832705
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	95000	"intercept"	0.51629458
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	100000	"slope"	0.000391268495
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"5557246063474665851"	100000	"intercept"	0.51673539
"0.05"	"0.0"	"0.95"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6735337991327171722"	10	"slope"	-0.00026243395
