"alpha"	"delta"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	19000	"intercept"	0.43048766
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	20000	"slope"	0.1228758435
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	20000	"intercept"	0.419806985
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	21000	"slope"	0.1175434304
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	21000	"intercept"	0.419987575
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	22000	"slope"	0.1144495255
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	22000	"intercept"	0.423143475
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	23000	"slope"	0.1192604114
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	23000	"intercept"	0.418745065
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	24000	"slope"	0.1206541701
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	24000	"intercept"	0.41922521
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	25000	"slope"	0.10792575514
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	25000	"intercept"	0.43231281
