"selfingrate"	"delta"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	95000	"intercept"	0.52269959
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	100000	"slope"	-0.05929225151
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	100000	"intercept"	0.542785285
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	10	"slope"	0.0001158465995
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	10	"intercept"	0.499943595
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	5000	"slope"	-0.00133064033
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	5000	"intercept"	0.50691752
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	10000	"slope"	-0.014037760597
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	10000	"intercept"	0.498684575
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	15000	"slope"	0.013260005775
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	15000	"intercept"	0.49686051
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	20000	"slope"	0.00166040443
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	20000	"intercept"	0.49865692
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	25000	"slope"	-0.026336775315
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	25000	"intercept"	0.50837766
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	30000	"slope"	-0.025712003665
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	30000	"intercept"	0.51389132
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	35000	"slope"	-0.01052305774
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	35000	"intercept"	0.51261141
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	40000	"slope"	0.046100207635
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	40000	"intercept"	0.479652135
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	45000	"slope"	0.0191896184971
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	45000	"intercept"	0.48845919
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	50000	"slope"	0.0400100451993
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	50000	"intercept"	0.461138535
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	55000	"slope"	-2.02033000000001e-05
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	55000	"intercept"	0.503803345
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	60000	"slope"	-0.048481350886
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	60000	"intercept"	0.526921505
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	65000	"slope"	-0.04386016384
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	65000	"intercept"	0.52878335
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	70000	"slope"	-0.05336423357
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	70000	"intercept"	0.53968289
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	75000	"slope"	-0.00372469445
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	75000	"intercept"	0.49566965
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	80000	"slope"	-0.0506251577
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	80000	"intercept"	0.530448275
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	85000	"slope"	-0.08245690587
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	85000	"intercept"	0.553126285
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	90000	"slope"	-0.033502754048
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	90000	"intercept"	0.535604015
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	95000	"slope"	-0.04933586572
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	95000	"intercept"	0.54308448
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	100000	"slope"	-0.00050986417
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4740476390062057350"	100000	"intercept"	0.49144405
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	10	"slope"	1.15927485e-05
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	10	"intercept"	0.49992475
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	5000	"slope"	-0.005208820995
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	5000	"intercept"	0.505794005
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	10000	"slope"	0.0427062498
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	10000	"intercept"	0.477584795
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	15000	"slope"	0.0202280116
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	15000	"intercept"	0.48231629
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	20000	"slope"	-0.026401448957
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	20000	"intercept"	0.520937865
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	25000	"slope"	-0.0245514290135
